Comments,Label
I have taken it twice. It was really tasty and fresh and the price was very reasonable. Hope it continues.,1
Wow!,1
This dish is an instant appetite suppressant.,0
Very beautiful!,1
Trash literally!,0
We went there. It was good.,1
Help help help! unhealthy!,0
What a lovely pizza. Bet it tastes amazing.,1
Perfect!,1
Delicious!,1
Sucks!,0
Awesome!,1
How perfect!,1
Delicious page!,1
Is this supposed to be food or a science experiment gone wrong?,0
Great!,1
We went to their Shiraz branch. It is really great. Unique taste and quality.,1
Good luck!,1
Whoever prepared this should retire from the kitchen immediately.,0
It's very crispy and delicious.,1
I love it.,1
Not worth it.,0
It's very expensive.,0
Expensive,0
I wouldn't even feed this to my pet.,0
I wanted to.,1
Great and delicious!,1
This is a good and delicious idea.,1
"This is a culinary catastrophe, plain and simple.",0
How cool!,1
Oh my! what a sandwich!,1
What a sandwich!,1
Their food is very good. Highly recommended.,1
It was great and the price is good.,1
I've lost my appetite just by glancing at it.,0
Should give it a try.,1
Oh my goodness!,1
Great and unique... I'm saying this as a chef.,1
"Wow, I wanted to.",1
I like it. wow.,1
Thank you so much.,1
Wow. Their food is amazing.,1
My heart wants it.,1
This is an insult to the art of cooking.,0
Their food was excellent.,1
The price is great.,1
I wish it was in Isfahan.,1
"Eating this would be a punishment, not a pleasure.",0
The price is so great.,1
I just got hungry.,1
Twenty!,1
What a cutie.,1
It was great.,1
"The only thing worse than the appearance is the taste, I'm sure.",0
They look good and tempting.,1
Pure poison!,0
Cancer burger!,0
What a burger.,1
They really do such a good job.,1
A cancer Maker!,0
Equals to all kinds of diseases.,0
It's really amazing and awesome.,1
OMG. That was the best pasta Alfredo I've ever eaten.,1
Wow. This is my heaven.,1
Wow. What a pasta.,1
Prices are too high.,0
All of them was the same.,0
"Wow, it is obvious how delicious it is.",1
"Wow, what did you do to us.",1
This looks amazing.,1
I'd rather lick a dirty shoe than take a bite of this.,0
What a color.,1
"The price, the quality and the quantity were good.",1
Great! Great!,1
It's not worth it.,0
Great for getting fat.,0
Whoever served this should be banned from the restaurant industry.,0
This food is amazing.,1
"Great, Iran has the best fish.",1
What a thing! especially the sauce.,1
"Oh my God, that's great.",1
So great!,1
It looks like someone stepped on it before presenting it as a dish.,0
I enjoyed it!,1
This recipe is great!,1
I'd rather eat plain cardboard than endure this culinary disaster.,0
Wow! look at this!,1
This place is so nice.,1
Don't do this to me.,1
Good for you!,1
Long live the chef!,1
Wow! I love this.,1
How gorgeous it is,1
"Oh, how beautiful!",1
So much fat and calories.,0
It's not tasty at all.,0
Pure oil!,0
You eat and we look.,0
I love you!,1
It has a lot of oil.,0
Such good quality and tasteful photos.,1
Awesome bro!,1
That doesn't look delicious at all.,0
The best!,1
God bless you.,1
No words.,1
That was interesting.,1
Both of them are beautiful.,1
So delicious!,1
That was amazing. Thank you.,1
Welcome to our city.,1
Great and unique as always.,1
How delicious!,1
Both of them.,1
Wow that's awesome.,1
Wow that was so good.,1
This meal is a disgrace to food enthusiasts everywhere.,0
So beautiful and great!,1
